Банк;Продукт;Элемент;Ссылка на картинку
ТаскомбанкЛицензия НБУ № 84 от 25.10.2011 г.;https://minfin.com.ua/company/taskombank/;Кредитная карта «Большая пятерка»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcabf5f6e7.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/5a5dcabf5f6e7.png 2x""/>"
КредобанкЛицензия НБУ № 43 от 11.10.2011 г.;https://minfin.com.ua/company/kredobank/;Дебетовая карта «Правильная карта»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/646660c396f5a.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/646660c396f5a.png 2x""/>"
ПриватбанкЛицензия НБУ № 22 от 05.10.2011 г.;https://minfin.com.ua/company/privatbank/;Кредитная карта «Универсальная»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f0d92b073a4f.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/5f0d92b073a4f.png 2x""/>"
ГлобусЛицензия НБУ № 240 от 21.01.2019 г.;https://minfin.com.ua/company/globus/;Кредитная карта «Запасочка»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcac8d5136.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/5a5dcac8d5136.png 2x""/>"
КоминбанкЛицензия НБУ № 186 от 11.11.2011 г.;https://minfin.com.ua/company/cib/;Дебетовая карта «Социальная карта»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/6360e93421ab8.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/6360e93421ab8.png 2x""/>"
Агропросперис БанкЛицензия НБУ № 241 от 16.02.2016 г.;https://minfin.com.ua/company/agroprosperis-bank/;Дебетовая карта «Мрия»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/62b2ffbceeaf2.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/62b2ffbceeaf2.png 2x""/>"
Сенс БанкЛицензия НБУ № 61 від 01.12.2022 г.;https://minfin.com.ua/company/sensebank/;Кредитная карта «Сaméléon»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/63885b8f69bb8.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/63885b8f69bb8.png 2x""/>"
Пиреус БанкЛицензия НБУ № 91 от 17.10.2011 г.;https://minfin.com.ua/company/piraeus-bank/;WinCard;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/64edd536eb611.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/64edd536eb611.png 2x""/>"
Банк Кредит ДнепрЛицензия НБУ № 70 от 22.10.2018 г.;https://minfin.com.ua/company/credit-dnepr/;Кредитная карта «Gold»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5c6465e8dc067.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/5c6465e8dc067.png 2x""/>"
Кредитвест Банк;https://minfin.com.ua/company/creditwest-bank/;Премиум;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/651e7ed23d147.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/651e7ed23d147.png 2x""/>"
ОКСИ Банк;https://minfin.com.ua/company/oksi-bank/;Digital карта;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/64fefc4665342.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/64fefc4665342.png 2x""/>"
Райффайзен БанкЛицензия НБУ № 10 от 18.06.2018 г.;https://minfin.com.ua/company/aval/;Кредитная карта «Хочу-карта»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61b223a1937f5.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/61b223a1937f5.png 2x""/>"
Юнекс БанкЛицензия НБУ №56 от 28.10.2011 г.;https://minfin.com.ua/company/unexbank/;Дебетовая карта «Unex Smart»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/643506a2563bb.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/643506a2563bb.png 2x""/>"
Клиринговый ДомЛицензия НБУ № 171 от 02.01.2023 г.;https://minfin.com.ua/company/clearing-house/;Карта «Вільна» мультивалютная;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/644a2797615ba.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/644a2797615ba.png 2x""/>"
sportbankЛицензия НБУ № 84 от 25.10.2011 г. (АО «Таскомбанк»);https://minfin.com.ua/company/sportbank/;Кредитная карта «Sport»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/607fe91cae6a8.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/607fe91cae6a8.png 2x""/>"
O.BankЛицензия НБУ № 96 от 04.11.2011 г. (АО «Идея Банк»);https://minfin.com.ua/company/obank/;Кредитная карта «O.Картка+»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f059535ac167.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/5f059535ac167.png 2x""/>"
АбанкЛицензия НБУ №16 от 26.10.2011 г.;https://minfin.com.ua/company/a-bank/;Кредитная карта «Зелена»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f898884ee4dc.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/5f898884ee4dc.png 2x""/>"
Прокредит БанкЛицензия НБУ № 195 от 13.10.2011 г.;https://minfin.com.ua/company/procredit-bank/;Пакет услуг «Classic»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/645376baf3f85.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/645376baf3f85.png 2x""/>"
ПУМБЛицензия НБУ № 8 от 06.10.2011 г.;https://minfin.com.ua/company/pumb/;Пакет услуг «всеКАРТА»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/5fd8ae1d4910b.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/5fd8ae1d4910b.png 2x""/>"
РВС БанкЛицензия НБУ № 277 от 24.11.2016 г.;https://minfin.com.ua/company/rwsbank/;Универсальная карта World;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/62149301af8e6.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/62149301af8e6.png 2x""/>"
ТаскомбанкЛицензия НБУ № 84 от 25.10.2011 г.;https://minfin.com.ua/company/taskombank/;Кредитная карта «Большая пятерка»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcabf5f6e7.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/5a5dcabf5f6e7.png 2x""/>"
КредобанкЛицензия НБУ № 43 от 11.10.2011 г.;https://minfin.com.ua/company/kredobank/;Дебетовая карта «Правильная карта»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/646660c396f5a.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/646660c396f5a.png 2x""/>"
ПриватбанкЛицензия НБУ № 22 от 05.10.2011 г.;https://minfin.com.ua/company/privatbank/;Кредитная карта «Универсальная»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f0d92b073a4f.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/5f0d92b073a4f.png 2x""/>"
ГлобусЛицензия НБУ № 240 от 21.01.2019 г.;https://minfin.com.ua/company/globus/;Кредитная карта «Запасочка»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcac8d5136.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/5a5dcac8d5136.png 2x""/>"
КоминбанкЛицензия НБУ № 186 от 11.11.2011 г.;https://minfin.com.ua/company/cib/;Дебетовая карта «Социальная карта»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/6360e93421ab8.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/6360e93421ab8.png 2x""/>"
Агропросперис БанкЛицензия НБУ № 241 от 16.02.2016 г.;https://minfin.com.ua/company/agroprosperis-bank/;Дебетовая карта «Мрия»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/62b2ffbceeaf2.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/62b2ffbceeaf2.png 2x""/>"
Сенс БанкЛицензия НБУ № 61 від 01.12.2022 г.;https://minfin.com.ua/company/sensebank/;Кредитная карта «Сaméléon»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/63885b8f69bb8.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/63885b8f69bb8.png 2x""/>"
Пиреус БанкЛицензия НБУ № 91 от 17.10.2011 г.;https://minfin.com.ua/company/piraeus-bank/;WinCard;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/64edd536eb611.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/64edd536eb611.png 2x""/>"
Банк Кредит ДнепрЛицензия НБУ № 70 от 22.10.2018 г.;https://minfin.com.ua/company/credit-dnepr/;Кредитная карта «Gold»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5c6465e8dc067.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/5c6465e8dc067.png 2x""/>"
Кредитвест Банк;https://minfin.com.ua/company/creditwest-bank/;Премиум;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/651e7ed23d147.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/651e7ed23d147.png 2x""/>"
ОКСИ Банк;https://minfin.com.ua/company/oksi-bank/;Digital карта;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/64fefc4665342.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/64fefc4665342.png 2x""/>"
Райффайзен БанкЛицензия НБУ № 10 от 18.06.2018 г.;https://minfin.com.ua/company/aval/;Кредитная карта «Хочу-карта»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61b223a1937f5.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/61b223a1937f5.png 2x""/>"
Юнекс БанкЛицензия НБУ №56 от 28.10.2011 г.;https://minfin.com.ua/company/unexbank/;Дебетовая карта «Unex Smart»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/643506a2563bb.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/643506a2563bb.png 2x""/>"
Клиринговый ДомЛицензия НБУ № 171 от 02.01.2023 г.;https://minfin.com.ua/company/clearing-house/;Карта «Вільна» мультивалютная;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/644a2797615ba.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/644a2797615ba.png 2x""/>"
sportbankЛицензия НБУ № 84 от 25.10.2011 г. (АО «Таскомбанк»);https://minfin.com.ua/company/sportbank/;Кредитная карта «Sport»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/607fe91cae6a8.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/607fe91cae6a8.png 2x""/>"
O.BankЛицензия НБУ № 96 от 04.11.2011 г. (АО «Идея Банк»);https://minfin.com.ua/company/obank/;Кредитная карта «O.Картка+»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f059535ac167.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/5f059535ac167.png 2x""/>"
АбанкЛицензия НБУ №16 от 26.10.2011 г.;https://minfin.com.ua/company/a-bank/;Кредитная карта «Зелена»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f898884ee4dc.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/5f898884ee4dc.png 2x""/>"
Прокредит БанкЛицензия НБУ № 195 от 13.10.2011 г.;https://minfin.com.ua/company/procredit-bank/;Пакет услуг «Classic»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/645376baf3f85.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/645376baf3f85.png 2x""/>"
ПУМБЛицензия НБУ № 8 от 06.10.2011 г.;https://minfin.com.ua/company/pumb/;Пакет услуг «всеКАРТА»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/5fd8ae1d4910b.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/5fd8ae1d4910b.png 2x""/>"
РВС БанкЛицензия НБУ № 277 от 24.11.2016 г.;https://minfin.com.ua/company/rwsbank/;Универсальная карта World;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/62149301af8e6.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/62149301af8e6.png 2x""/>"
ТаскомбанкЛицензия НБУ № 84 от 25.10.2011 г.;https://minfin.com.ua/company/taskombank/;Кредитная карта «Большая пятерка»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcabf5f6e7.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/5a5dcabf5f6e7.png 2x""/>"
КредобанкЛицензия НБУ № 43 от 11.10.2011 г.;https://minfin.com.ua/company/kredobank/;Дебетовая карта «Правильная карта»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/646660c396f5a.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/646660c396f5a.png 2x""/>"
ПриватбанкЛицензия НБУ № 22 от 05.10.2011 г.;https://minfin.com.ua/company/privatbank/;Кредитная карта «Универсальная»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f0d92b073a4f.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/5f0d92b073a4f.png 2x""/>"
ГлобусЛицензия НБУ № 240 от 21.01.2019 г.;https://minfin.com.ua/company/globus/;Кредитная карта «Запасочка»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcac8d5136.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/5a5dcac8d5136.png 2x""/>"
КоминбанкЛицензия НБУ № 186 от 11.11.2011 г.;https://minfin.com.ua/company/cib/;Дебетовая карта «Социальная карта»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/6360e93421ab8.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/6360e93421ab8.png 2x""/>"
Агропросперис БанкЛицензия НБУ № 241 от 16.02.2016 г.;https://minfin.com.ua/company/agroprosperis-bank/;Дебетовая карта «Мрия»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/62b2ffbceeaf2.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/62b2ffbceeaf2.png 2x""/>"
Сенс БанкЛицензия НБУ № 61 від 01.12.2022 г.;https://minfin.com.ua/company/sensebank/;Кредитная карта «Сaméléon»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/63885b8f69bb8.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/63885b8f69bb8.png 2x""/>"
Пиреус БанкЛицензия НБУ № 91 от 17.10.2011 г.;https://minfin.com.ua/company/piraeus-bank/;WinCard;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/64edd536eb611.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/64edd536eb611.png 2x""/>"
Банк Кредит ДнепрЛицензия НБУ № 70 от 22.10.2018 г.;https://minfin.com.ua/company/credit-dnepr/;Кредитная карта «Gold»;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5c6465e8dc067.png 1x, https://minfin.com.ua/finua-assets/media/cache/credit_card_400/product/0/5c6465e8dc067.png 2x""/>"
Кредитвест Банк;https://minfin.com.ua/company/creditwest-bank/;Премиум;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/651e7ed23d147.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/651e7ed23d147.png 2x""/>"
ОКСИ Банк;https://minfin.com.ua/company/oksi-bank/;Digital карта;"<img class=""be80pr-10 jIGseK"" srcset=""https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/64fefc4665342.png 1x, https://minfin.com.ua/finua-assets/media/cache/debit_card_400/product/5/64fefc4665342.png 2x""/>"
